sample	population	population_label
SRR7970016	12	Brazil, Honduras & Panama Major Cluster 2
SRR7970021	6	Southern Cone Major Cluster (Brazil, Uruguay)
SRR7970024	1	Brazil, Honduras & Colombia Major Cluster
SRR7970026	1	Brazil, Honduras & Colombia Major Cluster
SRR7970028	10	Brazil-Paraguay Major Cluster
SRR7970029	6	Southern Cone Major Cluster (Brazil, Uruguay)
SRR7970030	10	Brazil-Paraguay Major Cluster
SRR7970031	12	Brazil, Honduras & Panama Major Cluster 2
SRR7970034	12	Brazil, Honduras & Panama Major Cluster 2
SRR7970036	12	Brazil, Honduras & Panama Major Cluster 2
SRR10478767	2	Brazil, Honduras & Panama Major Cluster
SRR10478771	2	Brazil, Honduras & Panama Major Cluster
SRR10478772	2	Brazil, Honduras & Panama Major Cluster
SRR10478773	2	Brazil, Honduras & Panama Major Cluster
SRR10478774	2	Brazil, Honduras & Panama Major Cluster
SRR10478775	2	Brazil, Honduras & Panama Major Cluster
SRR10478777	2	Brazil, Honduras & Panama Major Cluster
SRR10478778	2	Brazil, Honduras & Panama Major Cluster
SRR10478779	2	Brazil, Honduras & Panama Major Cluster
SRR10478781	2	Brazil, Honduras & Panama Major Cluster
SRR10478782	2	Brazil, Honduras & Panama Major Cluster
SRR10478783	2	Brazil, Honduras & Panama Major Cluster
SRR10478784	2	Brazil, Honduras & Panama Major Cluster
SRR10478786	2	Brazil, Honduras & Panama Major Cluster
SRR10478787	2	Brazil, Honduras & Panama Major Cluster
SRR10478789	2	Brazil, Honduras & Panama Major Cluster
SRR10478790	2	Brazil, Honduras & Panama Major Cluster
SRR10478792	2	Brazil, Honduras & Panama Major Cluster
SRR10478793	2	Brazil, Honduras & Panama Major Cluster
SRR10478795	2	Brazil, Honduras & Panama Major Cluster
SRR10478796	2	Brazil, Honduras & Panama Major Cluster
SRR12506670	9	Brazil Minor Population Cluster
SRR12506671	11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR12506672	11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR12506673	11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR12506677	12	Brazil, Honduras & Panama Major Cluster 2
SRR12506678	9	Brazil Minor Population Cluster
SRR12506679	5	Americas Minor Mixed Cluster (Honduras, Panama, France)
SRR12506680	5	Americas Minor Mixed Cluster (Honduras, Panama, France)
SRR12506681	5	Americas Minor Mixed Cluster (Honduras, Panama, France)
SRR12506684	5	Americas Minor Mixed Cluster (Honduras, Panama, France)
SRR12506685	5	Americas Minor Mixed Cluster (Honduras, Panama, France)
SRR12506686	5	Americas Minor Mixed Cluster (Honduras, Panama, France)
SRR12506688	5	Americas Minor Mixed Cluster (Honduras, Panama, France)
SRR12506689	5	Americas Minor Mixed Cluster (Honduras, Panama, France)
SRR12506692	9	Brazil Minor Population Cluster
SRR12506693	9	Brazil Minor Population Cluster
SRR12506694	1	Brazil, Honduras & Colombia Major Cluster
SRR12506695	9	Brazil Minor Population Cluster
SRR12506696	9	Brazil Minor Population Cluster
SRR12506698	11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR12506699	11	Southern South America Cluster (Brazil, Uruguay, Paraguay)
SRR12506701	10	Brazil-Paraguay Major Cluster
SRR12506703	10	Brazil-Paraguay Major Cluster
SRR12506705	1	Brazil, Honduras & Colombia Major Cluster
SRR12506706	10	Brazil-Paraguay Major Cluster
SRR12506707	10	Brazil-Paraguay Major Cluster
SRR12506708	10	Brazil-Paraguay Major Cluster
SRR12506709	10	Brazil-Paraguay Major Cluster
SRR12506710	10	Brazil-Paraguay Major Cluster
SRR12506711	10	Brazil-Paraguay Major Cluster
SRR12506716	1	Brazil, Honduras & Colombia Major Cluster
SRR12506718	9	Brazil Minor Population Cluster
SRR12506719	9	Brazil Minor Population Cluster
SRR12506720	9	Brazil Minor Population Cluster
SRR12506721	9	Brazil Minor Population Cluster
SRR12506722	9	Brazil Minor Population Cluster
SRR12506723	9	Brazil Minor Population Cluster
SRR12506724	9	Brazil Minor Population Cluster
SRR12506726	9	Brazil Minor Population Cluster
SRR12506728	6	Southern Cone Major Cluster (Brazil, Uruguay)
SRR13744648	2	Brazil, Honduras & Panama Major Cluster
SRR13744637	2	Brazil, Honduras & Panama Major Cluster
SRR13744626	2	Brazil, Honduras & Panama Major Cluster
SRR13744615	2	Brazil, Honduras & Panama Major Cluster
SRR13744604	2	Brazil, Honduras & Panama Major Cluster
SRR13744593	2	Brazil, Honduras & Panama Major Cluster
SRR13744679	2	Brazil, Honduras & Panama Major Cluster
SRR13744678	2	Brazil, Honduras & Panama Major Cluster
SRR13744677	2	Brazil, Honduras & Panama Major Cluster
SRR13744676	2	Brazil, Honduras & Panama Major Cluster
SRR13744675	2	Brazil, Honduras & Panama Major Cluster
SRR13744674	2	Brazil, Honduras & Panama Major Cluster
SRR13744673	2	Brazil, Honduras & Panama Major Cluster
SRR13744672	2	Brazil, Honduras & Panama Major Cluster
SRR13744671	2	Brazil, Honduras & Panama Major Cluster
SRR13744669	2	Brazil, Honduras & Panama Major Cluster
SRR13744668	2	Brazil, Honduras & Panama Major Cluster
SRR13744667	2	Brazil, Honduras & Panama Major Cluster
SRR13744666	2	Brazil, Honduras & Panama Major Cluster
SRR13744665	2	Brazil, Honduras & Panama Major Cluster
SRR13744663	2	Brazil, Honduras & Panama Major Cluster
SRR13744662	2	Brazil, Honduras & Panama Major Cluster
SRR13744661	2	Brazil, Honduras & Panama Major Cluster
SRR13744660	2	Brazil, Honduras & Panama Major Cluster
SRR13744657	2	Brazil, Honduras & Panama Major Cluster
SRR13744656	2	Brazil, Honduras & Panama Major Cluster
SRR13744653	2	Brazil, Honduras & Panama Major Cluster
SRR13744652	2	Brazil, Honduras & Panama Major Cluster
SRR13744651	2	Brazil, Honduras & Panama Major Cluster
SRR13744650	2	Brazil, Honduras & Panama Major Cluster
SRR13744647	2	Brazil, Honduras & Panama Major Cluster
SRR13744646	2	Brazil, Honduras & Panama Major Cluster
SRR13744645	2	Brazil, Honduras & Panama Major Cluster
SRR13744643	2	Brazil, Honduras & Panama Major Cluster
SRR13744642	2	Brazil, Honduras & Panama Major Cluster
SRR13744682	10	Brazil-Paraguay Major Cluster
SRR13744681	12	Brazil, Honduras & Panama Major Cluster 2
SRR13744638	12	Brazil, Honduras & Panama Major Cluster 2
SRR13744636	12	Brazil, Honduras & Panama Major Cluster 2
SRR13744635	12	Brazil, Honduras & Panama Major Cluster 2
SRR13744634	12	Brazil, Honduras & Panama Major Cluster 2
SRR13744633	12	Brazil, Honduras & Panama Major Cluster 2
SRR13744632	12	Brazil, Honduras & Panama Major Cluster 2
SRR13744630	12	Brazil, Honduras & Panama Major Cluster 2
SRR13744629	12	Brazil, Honduras & Panama Major Cluster 2
SRR13744628	10	Brazil-Paraguay Major Cluster
SRR13744625	10	Brazil-Paraguay Major Cluster
SRR13744624	6	Southern Cone Major Cluster (Brazil, Uruguay)
SRR13744620	6	Southern Cone Major Cluster (Brazil, Uruguay)
SRR13744619	6	Southern Cone Major Cluster (Brazil, Uruguay)
SRR13744618	10	Brazil-Paraguay Major Cluster
SRR13744617	12	Brazil, Honduras & Panama Major Cluster 2
SRR13744612	12	Brazil, Honduras & Panama Major Cluster 2
SRR13744610	12	Brazil, Honduras & Panama Major Cluster 2
SRR13744608	12	Brazil, Honduras & Panama Major Cluster 2
SRR13744607	12	Brazil, Honduras & Panama Major Cluster 2
SRR13744606	12	Brazil, Honduras & Panama Major Cluster 2
SRR13744605	12	Brazil, Honduras & Panama Major Cluster 2
SRR13744603	6	Southern Cone Major Cluster (Brazil, Uruguay)
SRR13744600	12	Brazil, Honduras & Panama Major Cluster 2
SRR13744599	12	Brazil, Honduras & Panama Major Cluster 2
SRR13744598	12	Brazil, Honduras & Panama Major Cluster 2
SRR13744597	12	Brazil, Honduras & Panama Major Cluster 2
SRR13744596	12	Brazil, Honduras & Panama Major Cluster 2
SRR13744592	12	Brazil, Honduras & Panama Major Cluster 2
SRR13744591	12	Brazil, Honduras & Panama Major Cluster 2
SRR16972343	12	Brazil, Honduras & Panama Major Cluster 2
SRR16972339	12	Brazil, Honduras & Panama Major Cluster 2
SRR16972338	12	Brazil, Honduras & Panama Major Cluster 2
SRR16972337	12	Brazil, Honduras & Panama Major Cluster 2
SRR16972313	6	Southern Cone Major Cluster (Brazil, Uruguay)
SRR16972314	12	Brazil, Honduras & Panama Major Cluster 2
SRR16972316	12	Brazil, Honduras & Panama Major Cluster 2
SRR16972319	12	Brazil, Honduras & Panama Major Cluster 2
SRR16972321	12	Brazil, Honduras & Panama Major Cluster 2
SRR16972322	12	Brazil, Honduras & Panama Major Cluster 2
SRR8608748	7	Europe & Americas Mixed Cluster (Spain, France, Brazil, Morocco)
ERR205787	7	Europe & Americas Mixed Cluster (Spain, France, Brazil, Morocco)
ERR205750	13	Central & East Asia with Middle East Mix (Uzbekistan, China, Israel)
ERR205751	13	Central & East Asia with Middle East Mix (Uzbekistan, China, Israel)
ERR205735	7	Europe & Americas Mixed Cluster (Spain, France, Brazil, Morocco)
ERR205737	4	Western Europe & North Africa Cluster (France, Portugal, Tunisia)
ERR205760	4	Western Europe & North Africa Cluster (France, Portugal, Tunisia)
ERR205793	4	Western Europe & North Africa Cluster (France, Portugal, Tunisia)
ERR205795	4	Western Europe & North Africa Cluster (France, Portugal, Tunisia)
ERR3550144	7	Europe & Americas Mixed Cluster (Spain, France, Brazil, Morocco)
ERR205771	4	Western Europe & North Africa Cluster (France, Portugal, Tunisia)
ERR205786	4	Western Europe & North Africa Cluster (France, Portugal, Tunisia)
ERR205799	4	Western Europe & North Africa Cluster (France, Portugal, Tunisia)
ERR205738	4	Western Europe & North Africa Cluster (France, Portugal, Tunisia)
ERR271200	4	Western Europe & North Africa Cluster (France, Portugal, Tunisia)
ERR230188	4	Western Europe & North Africa Cluster (France, Portugal, Tunisia)
ERR3550118	7	Europe & Americas Mixed Cluster (Spain, France, Brazil, Morocco)
ERR3550132	7	Europe & Americas Mixed Cluster (Spain, France, Brazil, Morocco)
ERR205785	8	Middle East Cluster (Israel, Yemen)
ERR230189	8	Middle East Cluster (Israel, Yemen)
ERR230190	8	Middle East Cluster (Israel, Yemen)
ERR230193	8	Middle East Cluster (Israel, Yemen)
ERR304752	8	Middle East Cluster (Israel, Yemen)
ERR304753	13	Central & East Asia with Middle East Mix (Uzbekistan, China, Israel)
ERR3550152	8	Middle East Cluster (Israel, Yemen)
ERR205739	8	Middle East Cluster (Israel, Yemen)
ERR205797	8	Middle East Cluster (Israel, Yemen)
ERR3550142	3	North Africa & Europe Mixed Cluster (Tunisia, France, Israel)
SRR6369631	4	Western Europe & North Africa Cluster (France, Portugal, Tunisia)
SRR11098642	3	North Africa & Europe Mixed Cluster (Tunisia, France, Israel)
SRR11098643	3	North Africa & Europe Mixed Cluster (Tunisia, France, Israel)
SRR11098644	3	North Africa & Europe Mixed Cluster (Tunisia, France, Israel)
SRR11098645	3	North Africa & Europe Mixed Cluster (Tunisia, France, Israel)
SRR11098646	3	North Africa & Europe Mixed Cluster (Tunisia, France, Israel)
